#time	 xpos	 ypos
0.00121	0.38056	 -0.34486	0.46260	 0.11560	0.41589	 -0.21580	0.26551	 -0.02982	0.22584	 0.62938	
0.00126	0.36528	 -0.33103	0.45975	 0.09922	0.42859	 -0.20956	0.25012	 -0.04967	0.22807	 0.64365	
0.00131	0.37824	 -0.34023	0.43280	 0.09515	0.45599	 -0.22635	0.25014	 -0.07786	0.21430	 0.63430	
0.00136	0.35069	 -0.35194	0.42655	 0.10629	0.46094	 -0.24242	0.25712	 -0.07116	0.20995	 0.61030	
0.00142	0.34192	 -0.33156	0.42790	 0.09359	0.45371	 -0.25342	0.26076	 -0.07721	0.21993	 0.61645	
0.00147	0.35387	 -0.33079	0.43655	 0.09311	0.46124	 -0.25965	0.27478	 -0.06147	0.25501	 0.61891	
0.00152	0.35684	 -0.34379	0.42772	 0.10864	0.48319	 -0.26796	0.25727	 -0.07453	0.23981	 0.61605	
0.00157	0.35193	 -0.34207	0.40299	 0.11246	0.48003	 -0.26195	0.25546	 -0.04681	0.24272	 0.60554	
0.00163	0.33417	 -0.34827	0.40632	 0.13381	0.50043	 -0.26824	0.25226	 -0.02867	0.25683	 0.58822	
0.00168	0.29348	 -0.35328	0.40263	 0.11728	0.50480	 -0.27633	0.25286	 -0.03862	0.25857	 0.58660	
0.00173	0.27997	 -0.34754	0.41211	 0.12031	0.50492	 -0.28018	0.23232	 -0.03994	0.26784	 0.61049	
0.00178	0.26072	 -0.34438	0.42852	 0.11610	0.51171	 -0.27687	0.24008	 -0.06565	0.26007	 0.58551	
0.00184	0.25431	 -0.32551	0.44239	 0.12560	0.50315	 -0.27689	0.20993	 -0.05093	0.28241	 0.58814	
0.00189	0.28096	 -0.33383	0.44763	 0.12278	0.49895	 -0.30023	0.16653	 -0.04305	0.28194	 0.61469	
0.00194	0.28841	 -0.32340	0.44475	 0.11698	0.49286	 -0.30537	0.17022	 -0.04512	0.28361	 0.62826	
0.00199	0.29314	 -0.32801	0.48505	 0.11008	0.48036	 -0.29549	0.17891	 -0.02095	0.25629	 0.63554	
0.00205	0.30896	 -0.33606	0.49088	 0.10445	0.49342	 -0.28834	0.17805	 -0.03482	0.25970	 0.66759	
0.00210	0.30279	 -0.34979	0.49401	 0.10446	0.49856	 -0.27827	0.16803	 -0.07154	0.26732	 0.67600	
0.00215	0.29947	 -0.33841	0.50055	 0.10114	0.51058	 -0.28441	0.14302	 -0.05055	0.26024	 0.66631	
0.00220	0.27841	 -0.32099	0.48649	 0.09864	0.51444	 -0.28006	0.13097	 -0.05336	0.27528	 0.67295	
0.00226	0.26104	 -0.30852	0.48249	 0.10332	0.53407	 -0.28770	0.15459	 -0.02235	0.27112	 0.67291	
0.00231	0.26396	 -0.28525	0.47489	 0.12615	0.52942	 -0.25975	0.16164	 -0.05573	0.26240	 0.66717	
0.00236	0.27978	 -0.28140	0.48328	 0.11059	0.54236	 -0.26623	0.15362	 -0.06174	0.24890	 0.68789	
0.00241	0.27656	 -0.31107	0.48972	 0.10786	0.54152	 -0.27293	0.15155	 -0.05677	0.25526	 0.69685	
0.00247	0.25264	 -0.31681	0.47956	 0.11536	0.52894	 -0.28104	0.09393	 -0.08299	0.25189	 0.68985	
0.00252	0.22946	 -0.30303	0.46739	 0.10324	0.52122	 -0.26978	0.10316	 -0.08149	0.25108	 0.70356	
0.00257	0.26508	 -0.30507	0.48462	 0.10319	0.55872	 -0.27323	0.09614	 -0.08640	0.24100	 0.69147	
0.00262	0.23853	 -0.28471	0.47978	 0.13135	0.56620	 -0.28473	0.11410	 -0.10369	0.22993	 0.70334	
0.00268	0.21915	 -0.26423	0.46972	 0.12314	0.59809	 -0.27734	0.11886	 -0.10210	0.22870	 0.71209	
0.00273	0.23750	 -0.25182	0.45243	 0.14933	0.62328	 -0.27612	0.12368	 -0.09744	0.23281	 0.71908	
0.00278	0.25073	 -0.26538	0.46348	 0.14357	0.60167	 -0.25559	0.11921	 -0.10131	0.23460	 0.70490	
0.00283	0.24536	 -0.25211	0.43600	 0.14170	0.58023	 -0.24956	0.12842	 -0.12265	0.24505	 0.69122	
0.00289	0.24988	 -0.24003	0.46471	 0.14575	0.56997	 -0.26577	0.12823	 -0.11618	0.25358	 0.68194	
0.00294	0.28836	 -0.22385	0.47803	 0.15247	0.55332	 -0.24637	0.11707	 -0.09683	0.26138	 0.65496	
0.00299	0.27996	 -0.22394	0.49318	 0.13880	0.54477	 -0.27174	0.11950	 -0.11263	0.25625	 0.65779	
