#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.102500	 0.8455	 8.24898	 0.2062	  0
0.103750	 0.8559	 8.24968	 0.2062	  0
0.105000	 0.8665	 8.25252	 0.2063	  0
0.106250	 0.8781	 8.26457	 0.2066	  0
0.107500	 0.8898	 8.27758	 0.2069	  1
0.108750	 0.8976	 8.25367	 0.2063	  2
0.110000	 0.9079	 8.25331	 0.2063	  3
0.111250	 0.9180	 8.25132	 0.2063	  4
0.112500	 0.9309	 8.27490	 0.2069	  5
0.113750	 0.9403	 8.26663	 0.2067	  6
0.115000	 0.9494	 8.25548	 0.2064	  7
0.116250	 0.9612	 8.26813	 0.2067	  8
0.117500	 0.9747	 8.29559	 0.2074	  9
0.118750	 0.9830	 8.27761	 0.2069	  10
0.120000	 0.9924	 8.26990	 0.2067	  11
0.121250	 1.0019	 8.26342	 0.2066	  12
0.122500	 1.0122	 8.26313	 0.2066	  13
0.123750	 1.0262	 8.29221	 0.2073	  14
0.125000	 1.0360	 8.28816	 0.2072	  15
0.126250	 1.0438	 8.26805	 0.2067	  16
0.127500	 1.0537	 8.26408	 0.2066	  17
0.128750	 1.0661	 8.28027	 0.2070	  18
0.130000	 1.0722	 8.24766	 0.2062	  19
0.131250	 1.0811	 8.23706	 0.2059	  20


Average of all Threads:

meanx = 1.08111	 meanspeed = 8.23706	 mu = 0.20593

